timestamp,LAT,LON,DBS,SOG,COGt,HDGt,ROT,LEE,ROLL,PITCH,BRG,DTG,XTE,MFIT,MFITT,MSOLV,MNOIS,MAGB,MAGBT,MINCL,MCALF,MCALH,AWS,AWA,TWS,TWA,TWD,MROT,VMG,VMC,TGTA,TGTS,TVMG,PSPD,PSR,PVMG,PVMGR,BTA,BTVMG,GBA,GBVMG,VMAX,VMAXA,OWA,TACK
2026-08-12 17:45:10,42.470071059999995,-82.88211743,5.3051,0.0914,354.9474,188.0935,2.2036,0.0,-0.3073,-0.2501,78.2461,1.4533,-0.0001,3.1991,0.0,10.0,0.0013,48.092,0.0,63.5995,0.0,0.0,9.3313,70.1979,9.3014,70.7279,257.6347,-11.2645,0.0349,0.0094,41.8922,7.5888,5.6001,10.5001,0.009,5.6001,0.0064,41.8922,5.6001,137.6122,8.5867,14.0508,120.0,25.8423,229.9207
2026-08-12 17:45:20,42.47006666145486,-82.88211478142983,5.3051,0.1205,354.9474,188.179,2.7734,0.0,-0.5138,-0.2537,78.2345,1.4532,0.0002,3.1992,0.0,10.0,0.001,48.092,0.0,63.6909,0.0,0.0,13.584,75.1692,13.5501,75.7204,262.7224,-11.2685,0.0332,0.0143,50.0,10.4636,6.7259,14.905,0.0093,6.7259,0.0049,50.0,6.7259,144.2149,12.0394,18.3116,120.0,26.2385,238.1172
2026-08-12 17:45:30,42.47006104530246,-82.88210063701118,5.3051,0.1283,354.9474,188.0034,1.2134,0.0,-0.5296,-0.2129,78.2162,1.4526,0.0006,3.1993,0.0,10.0,0.0012,48.092,0.0,63.7484,0.0,0.0,14.8553,67.0011,14.8075,67.4442,254.5408,-11.269,0.0451,0.0148,50.0,11.0689,7.1149,15.3149,0.0082,7.1149,0.0064,50.0,7.1149,148.633,13.3373,19.6501,120.0,18.6905,238.0063
2026-08-12 17:45:40,42.47005733,-82.88210339,5.3051,0.0778,354.9474,188.3221,-4.1777,0.0,-0.273,-0.2025,78.2099,1.4528,0.0008,3.1994,0.0,10.0,0.0018,48.092,0.0,63.7565,0.0,0.0,13.3275,59.0762,13.2852,59.3847,247.0365,-11.2702,0.0427,0.0101,50.0,10.4636,6.7259,12.6801,0.0066,6.7259,0.0063,50.0,6.7259,144.2148,12.0394,18.3116,120.0,9.4421,238.2647
2026-08-12 17:45:50,42.47005600999999,-82.88210506,5.3051,0.0719,354.9474,188.4344,1.6933,0.0,-0.2504,-0.2108,78.2075,1.4529,0.0008,3.1994,0.0,10.0,0.001,48.092,0.0,63.8226,0.0,0.0,13.4732,62.5965,13.4431,62.8433,250.774,-11.2698,0.0297,0.0071,50.0,10.504,6.7518,13.3044,0.0049,6.7518,0.0044,50.0,6.7518,144.5815,12.1271,18.3996,120.0,12.9214,238.436
2026-08-12 17:46:00,42.47005756,-82.88210201999999,5.3051,0.0778,354.9474,188.1015,4.6024,0.0,-0.3327,-0.2001,78.2099,1.4527,0.0008,3.1995,0.0,10.0,0.0004,48.092,0.0,63.9558,0.0,0.0,14.0236,55.605,13.9787,55.8768,243.4369,-11.2736,0.0448,0.01,49.8238,10.8018,6.9653,12.7469,0.0065,6.9653,0.0064,49.8238,6.9653,147.7618,12.8493,19.1157,120.0,6.8328,237.9684
2026-08-12 17:46:10,42.47005866000001,-82.88209788999998,5.3051,0.1341,354.9474,187.8021,-0.3705,0.0,-0.2974,-0.217,78.2112,1.4526,0.0008,3.1996,0.0,10.0,0.0004,48.092,0.0,63.6976,0.0,0.0,13.3101,61.8694,13.2605,62.3065,249.2187,-11.2736,0.0501,0.0127,49.8916,10.3992,6.6984,12.7446,0.0084,6.6984,0.0075,49.8916,6.6984,143.9302,11.9464,18.2129,120.0,10.9634,237.7194
2026-08-12 17:46:20,42.47005749,-82.88209333,5.3051,0.0972,354.9474,187.8774,-4.1486,0.0,-0.2561,-0.2115,78.207,1.4524,0.0009,3.1997,0.0,10.0,0.0014,48.092,0.0,63.6061,0.0,0.0,12.0839,66.9867,12.0452,67.4232,254.4111,-11.2702,0.0383,0.0116,48.5395,9.7106,6.4117,12.7954,0.0079,6.4117,0.006,48.5395,6.4117,141.1813,10.978,17.1746,120.0,19.2296,236.4178
2026-08-12 17:46:30,42.47005885555555,-82.88209484444445,5.3051,0.1594,355.2086,188.2331,0.0529,0.0,-0.6109,-0.217,78.2099,1.4524,0.0008,3.1998,0.0,10.0,0.0018,48.092,0.0,63.7699,0.0,0.0,17.0196,67.6702,16.965,68.1217,255.4069,-11.9504,0.0538,0.0173,50.0,11.648,7.4872,16.1305,0.0088,7.4872,0.0072,50.0,7.4872,149.8248,14.5278,20.9816,120.0,17.69,238.1706
2026-08-12 17:46:40,42.47005726530719,-82.88209880133459,5.3051,0.0894,355.2739,188.4515,3.4007,0.0,-0.1963,-0.2065,78.208,1.4526,0.0008,3.1999,0.0,10.0,0.0011,48.092,0.0,63.7828,0.0,0.0,13.3551,61.4315,13.3082,61.8024,249.4908,-16.2927,0.0469,0.012,50.0,10.5254,6.7656,13.3658,0.0078,6.7656,0.007,50.0,6.7656,144.7765,12.1738,18.4464,120.0,13.0788,238.451
2026-08-12 17:46:50,42.47005616,-82.88210547,5.3051,0.0952,355.2739,188.4009,-0.3552,0.0,-0.3005,-0.2144,78.2077,1.4529,0.0008,3.2,0.0,10.0,0.0008,48.092,0.0,63.5474,0.0,0.0,13.266,59.2152,13.2181,59.572,247.2352,-16.2927,0.0487,0.0109,50.0,10.4969,6.7473,12.5357,0.0075,6.7473,0.0072,50.0,6.7473,144.5177,12.1118,18.3843,120.0,8.8069,238.4274
2026-08-12 17:47:00,42.47005934,-82.88211489,5.3051,0.1263,355.2739,188.1055,0.0112,0.0,-0.2025,-0.2254,78.2189,1.4533,0.0006,3.2001,0.0,10.0,0.0016,48.092,0.0,63.6257,0.0,0.0,12.4901,61.0193,12.4267,61.5513,248.7154,-16.2927,0.0634,0.0164,49.5389,10.0375,6.5103,12.428,0.0109,6.5103,0.0098,49.5389,6.5103,141.611,11.3105,17.5576,120.0,12.4757,237.6977
2026-08-12 17:47:10,42.47006330000001,-82.88212428,5.3051,0.1102,355.2739,188.5132,4.2004,0.0,-0.076,-0.1816,78.2311,1.4536,0.0002,3.2002,0.0,10.0,0.0011,48.092,0.0,63.6939,0.0,0.0,11.9066,55.1264,11.8463,55.5475,242.9758,-16.2851,0.0598,0.0134,49.5211,9.9268,6.4431,11.3086,0.0096,6.4431,0.0093,49.5211,6.4431,140.6781,11.0832,17.3286,120.0,7.0215,237.9489
