timestamp,LAT,LON,DBS,Main,Headsail,Dagger,Tack/Gybe,PointOfSail,SOG,COGt,HDGt,Diff  (COG - HDG),ROT,ROLL,PITCH,BRG,DTG,XTE,HDGmE,HDGmF,Diff (HDGmE-HDGmF),MFIT,MFITT,MSOLV,MNOIS,MAGB,MAGBT,MINCL,MCALF,MCALH,AWS,AWA,TWS,TWA,TWD,MROT,VMG,VMC,TGTA,TGTS,TVMG,PSPD,PSR,PVMG,PVMGR,BTA,BTVMG,GBA,GBVMG,VMAX,VMAXA,OWA,TACK
7:00:00 PM,42.4749474,-82.8509697,15,R2,RSPIN+JIB,Full,Star,Run,7.8,62.1,82.8,-20.7,-342,-2.1,-0.6,,,,35.2,79.9,44.7,7.2198,17.3993,10,0.0023,48.092,16.7453,66.9003,0,0,9.7,81,11.6,124,198,-58,,7.3,140,,10.9531,,,,,49.6607,6.4047,140,10.9531,17.205,120,-20.9478,222.6743
7:00:01 PM,42.4749685,-82.8509219,,R2,RSPIN+JIB,Full,Star,Run,8.0,57.0,75.2,-18.2,-526,1.6,0.6,,,,27.2,71.7,44.6,,,,,,,,,,8.7,82,11.0,128,197,-51,-4.0414,7.1,140,14.1358,10.7847,16.9577,0.4635,10.8287,0.3732,48.9282,6.3547,140,10.7847,16.9999,120,-16.9319,219.3813
7:00:02 PM,42.4749932,-82.8508864,16,R2,RSPIN+JIB,Full,Star,Run,7.8,45.1,65.8,-20.7,-534,1.4,-0.3,,,,22.1,62.3,40.3,,,,,,,,,,10.0,76,11.1,120,180,,-4.6132,6.6,140,13.7779,10.2271,16.1609,0.4932,10.5545,0.4371,46.5016,6.1891,140,10.2271,16.3204,120,-15.823,212.0846
7:00:03 PM,42.4750221,-82.8508564,16,R2,RSPIN+JIB,Full,Star,Run,8.1,35.7,56.2,-20.5,,,,,,,13.5,52.8,39.2,,,,,,,,,,9.9,82,11.9,124,175,-54,-4.2185,5.2,140,13.3869,10.366,16.1183,0.491,10.255,0.4114,47.1061,6.2304,140,10.366,16.4897,120,-18.1716,205.9557
7:00:04 PM,42.475054,-82.850829,,R2,RSPIN+JIB,Full,Star,Run,8.1,29.2,49.6,-20.4,-399,1.6,0.2,,,,,46.9,,7.2199,17.3993,10,0.008,48.092,16.7453,63.8273,0,0,,,,,,-53,-4.3055,4.2,140,13.8327,10.6524,16.5008,0.4843,10.5964,0.4063,48.3523,6.3154,140,10.6524,16.8386,120,-15.5497,197.0219
7:00:05 PM,42.4750872,-82.8508077,16,R2,RSPIN+JIB,Full,Star,Run,7.7,26.9,49.0,-22.2,-114,1.9,0.4,,,,7.6,47.3,39.6,,,,,,,,,,8.8,86,11.5,130,172,-42,-4.7875,2.8,140,13.8914,10.8336,16.134,0.4967,10.6414,0.4499,49.1407,6.3692,140,10.8336,17.0594,120,-11.5915,191.4921
7:00:06 PM,42.4751176,-82.8507853,,R2,RSPIN+JIB,Full,Star,Run,7.3,32.1,56.1,-24.0,415,-0.3,-0.1,,,,5.2,,,,,,,,,,,,8.5,106,13.0,141,180,-45,-5.3135,2.4,141.795,14.4668,11.4605,15.982,0.4909,11.1879,0.4749,50,6.5548,141.795,11.4605,17.7308,120,-5.6707,193.6253
7:00:07 PM,42.4751447,-82.8507601,16,R2,RSPIN+JIB,Full,Star,Run,7.0,38.7,62.1,-23.4,299,-2.6,0.4,,,,12.7,54.8,42.1,,,,,,,,,,8.2,119,13.5,148,191,-47,-5.8037,2.4,143.5012,14.6933,11.8686,15.1289,0.4966,11.7088,0.4957,50,6.6754,143.5012,11.8686,18.1403,120,0.366,200.3964
7:00:08 PM,42.4751697,-82.8507292,,R2,RSPIN+JIB,Full,Star,Run,7.2,45.8,,,370,-3.0,-0.3,,,,14.6,60.3,45.7,7.2199,17.3993,10,0.0053,48.092,16.7453,66.4155,0,0,8.0,123,13.1,149,199,-52,-5.9087,2.7,143.3638,14.779,11.8358,14.2819,0.5003,11.9013,0.4965,50,6.6657,143.3638,11.8358,18.1073,120,4.0585,203.9183
7:00:09 PM,42.4751974,-82.8506887,16,R2,RSPIN+JIB,Full,Star,Run,7.7,51.2,67.7,-16.5,,-4.9,1.2,,,,22.4,66.2,43.8,,,,,,,,,,7.6,125,13.1,152,207,-52,-6.1439,3.3,144.209,14.7387,12.038,13.4738,0.5316,11.8111,0.5202,50,6.7255,144.209,12.038,18.3102,120,5.5614,210.5301
7:00:10 PM,42.4752226,-82.8506506,,R2,RSPIN+JIB,Full,Star,Run,8.0,49.5,73.0,-23.5,194,-4.6,1.5,,,,28.7,70.6,41.9,,,,,,,,,,8.2,118,13.6,148,209,-57,-6.4591,3.5,144.5851,14.9098,12.128,13.9924,0.5382,12.1904,0.5299,50,6.7521,144.5851,12.128,18.4004,120,4.3859,214.9715
7:00:11 PM,42.4752485,-82.8506112,16,R2,RSPIN+JIB,Full,Star,Run,8.1,52.2,70.5,-18.3,-121,,,,,,25.9,68.0,42.2,,,,,,,,,,7.2,121,13.2,152,212,-76,-6.7288,2.9,143.8577,14.8455,11.9539,13.7563,0.5691,12.0489,0.5585,50,6.7006,143.8577,11.9539,18.2259,120,7.5268,214.3917
7:00:12 PM,42.4752716,-82.8505685,16,R2,RSPIN+JIB,Full,Star,Run,8.0,55.2,72.9,-17.7,183,0.0,2.6,,,,,71.2,,7.22,17.3993,10,0.0083,48.092,16.7453,65.4518,0,0,7.6,109,12.8,146,208,-67,-7.0709,2.9,143.0946,14.7382,11.7714,12.9385,0.6215,11.8099,0.5987,50,6.6467,143.0946,11.7714,18.0427,120,3.9679,215.0667
7:00:13 PM,42.4752915,-82.8505288,,R2,RSPIN+JIB,Full,Star,Run,8.2,55.9,75.1,-19.2,,,,,,,,72.6,,,,,,,,,,,10.4,91,13.3,128,195,-62,-6.1849,2.7,,14.7089,,15.2321,0.5278,11.744,0.5266,,,,,,,,
7:00:14 PM,42.4753158,-82.8504864,16,R2,RSPIN+JIB,Full,Star,Run,8.6,55.5,73.4,-17.9,59,-3.1,1.3,,,,31.1,71.2,40.0,,,,,,,,,,9.9,94,13.5,133,199,-71,-5.5922,2.4,143.4856,14.8545,11.8649,16.9609,0.4845,12.0688,0.4634,50,6.6743,143.4856,11.8649,18.1365,120,-8.5597,217.3897
7:00:15 PM,42.4753393,-82.8504429,,R2,RSPIN+JIB,Full,Star,Run,,,73.3,,29,-4.3,1.2,,,,30.5,71.1,40.6,,,,,,,,,,8.7,95,12.9,138,202,-69,-5.9885,,144.3525,14.8131,12.0723,16.6248,0.517,11.9772,0.5,50,6.7356,144.3525,12.0723,18.3446,120,-11.2651,218.0256
7:00:16 PM,42.4753604,-82.8503992,16,R2,RSPIN+JIB,Full,Star,Run,8.6,56.3,73.3,-17.0,51,-2.3,1.0,,,,30.8,70.4,39.6,7.2201,17.3993,10,0.0091,48.092,16.7453,65.6229,0,0,9.0,91,12.6,135,200,-65,-6.3163,1.5,143.1995,14.6447,11.7965,15.798,0.5535,11.5983,0.5446,50,6.6541,143.1995,11.7965,18.0679,120,-7.5873,216.7285
7:00:17 PM,42.4753864,-82.8503528,,R2,RSPIN+JIB,Full,Star,Run,8.7,54.8,70.6,-15.7,-245,-1.6,1.1,,,,31.9,,,,,,,,,,,,9.8,90,13.0,131,195,-66,-6.0419,0.7,142.3568,14.6589,11.5949,16.2628,0.5357,11.6308,0.5195,50,6.5945,142.3568,11.5949,17.8656,120,-7.0427,215.6592
7:00:18 PM,42.4754101,-82.8503153,16,R2,RSPIN+JIB,Full,Star,Run,8.2,52.2,,,100,-0.6,1.0,,,,29.6,68.4,38.8,,,,,,,,,,10.0,90,12.9,130,193,-63,-5.7449,-0.6,142.8297,14.6905,11.708,16.6384,0.5129,11.7024,0.4909,50,6.628,142.8297,11.708,17.9791,120,-9.8866,214.6564
7:00:19 PM,42.4754319,-82.8502761,,R2,RSPIN+JIB,Full,Star,Run,8.0,52.5,74.2,-21.8,21,-2.0,0.5,,,,32.2,72.4,40.2,,,,,,,,,,10.4,89,13.1,127,193,-63,-5.1675,-1.2,143.1106,14.7406,11.7752,17.24,0.4723,11.8153,0.4374,50,6.6478,143.1106,11.7752,18.0465,120,-12.2431,215.6508
7:00:20 PM,42.4754525,-82.8502377,16,R2,RSPIN+JIB,Full,Star,Run,7.6,54.8,74.5,-19.6,-12,-1.6,0.6,,,,31.0,71.8,40.8,7.2202,17.3993,10,0.0071,48.092,16.7453,66.2153,0,0,9.9,92,12.8,129,196,-64,-4.895,-1.5,143.4694,14.7818,11.861,17.4403,0.4528,11.9074,0.4111,50,6.6732,143.4694,11.861,18.1326,120,-15.0929,217.5799
7:00:21 PM,42.4754727,-82.8501991,,R2,RSPIN+JIB,Full,Star,Run,7.8,53.9,73.8,-19.9,,,,,,,30.8,71.5,40.8,,,,,,,,,,10.6,91,13.2,127,193,-62,-4.7635,-1.8,143.0021,14.6924,11.7492,17.2729,0.4509,11.7067,0.4069,50,6.6401,143.0021,11.7492,18.0205,120,-14.4885,216.8811
