timestamp,LAT,LON,DBS,Main,Headsail,Dagger,Tack/Gybe,PointOfSail,SOG,COGt,HDGt,Diff  (COG - HDG),ROLL,PITCH,BRG,DTG,XTE,HDGmE,HDGmF,Diff (HDGmE-HDGmF),MFIT,MFITT,MSOLV,MNOIS,MAGB,MAGBT,MINCL,MCALF,MCALH,AWS,AWA,TWS,TWA,TWD,MROT,VMC
7:00:00 PM,42.4757851,-82.8523224,15.1,R2,R-Spin,Full,Star,Run,9.9,117.2,120.2,-3.0,-3.9,1.8,,,,72.9,,,,,,,,,,,0.00,12.5,94.3,16.4,130.3,250.6,-34.0,
7:00:01 PM,42.4757655,-82.8522687,,R2,R-Spin,Full,Star,Run,10.1,115.9,119.1,-3.2,-4.6,2.3,,,,73.4,117.0,-43.6,,,,,,,,,,11.6,95.5,16.1,134.2,252.7,-33.7,
7:00:02 PM,42.4757481,-82.852212,15.2,R2,R-Spin,Full,Star,Run,9.7,113.6,117.9,-4.3,-2.3,-0.7,,,,74.4,116.5,-42.1,,,,,,,,,,10.7,89.4,14.5,132.5,249.4,-32.5,
7:00:03 PM,42.475733,-82.8521565,,R2,R-Spin,Full,Star,Run,10.0,110.8,118.0,-7.3,-3.3,0.9,,,,71.6,115.2,-43.6,3.26,13.48,10.00,0.00,48.09,19.06,70.16,0.00,,11.7,94.8,15.9,133.0,248.5,-32.2,
7:00:04 PM,42.4757165,-82.8520939,15.1,R2,R-Spin,Full,Star,Run,9.7,112.0,118.6,-6.6,-3.1,0.9,,,,72.3,115.6,-43.3,,,,,,,,,0.00,11.1,94.1,15.4,133.9,249.2,-32.3,
7:00:05 PM,42.4757017,-82.852039,,R2,R-Spin,Full,Star,Run,9.4,111.5,,,-3.5,0.8,,,,72.3,116.2,-43.9,,,,,,,,,,10.4,94.5,14.7,134.8,249.9,-33.7,
7:00:06 PM,42.4756898,-82.8519852,15.2,R2,R-Spin,Full,Star,Run,9.3,108.5,116.4,-7.9,-2.6,0.6,,,,70.1,113.3,-43.2,,,,,,,,,,10.3,97.8,14.8,136.4,249.7,-34.5,
7:00:07 PM,42.4756793,-82.8519324,,R2,R-Spin,Full,Star,Run,9.3,108.8,116.0,-7.2,-2.5,1.1,,,,70.4,114.8,-44.5,3.26,13.48,10.00,0.01,48.09,19.06,70.13,0.00,,10.4,99.4,15.1,137.0,250.3,-34.4,
7:00:08 PM,42.475668,-82.85188,15.3,R2,R-Spin,Full,Star,Run,9.1,110.8,118.6,-7.8,,,,,,,118.0,,,,,,,,,,0.00,10.6,98.7,14.9,135.5,249.9,-34.3,
7:00:09 PM,42.4756537,-82.8518253,,R2,R-Spin,Full,Star,Run,8.9,111.4,120.7,-9.3,-3.9,1.0,,,,73.8,120.2,-46.4,,,,,,,,,,11.0,98.7,15.3,134.7,251.5,-34.3,
7:00:10 PM,42.4756347,-82.8517686,15.4,R2,R-Spin,Full,Star,Run,9.1,115.0,124.3,-9.3,-4.9,1.4,,,,73.3,,,,,,,,,,,,11.1,98.2,15.3,134.3,254.1,,
7:00:11 PM,42.4756153,-82.8517196,,R2,R-Spin,Full,Star,Run,9.0,117.2,125.4,-8.3,-5.7,0.9,,,,78.0,123.2,-45.2,3.26,13.48,10.00,0.00,48.09,19.06,70.15,0.00,,10.4,96.4,14.7,135.2,256.7,-34.5,
7:00:12 PM,42.4755956,-82.8516677,15.4,R2,R-Spin,Full,Star,Run,9.3,117.4,121.6,-4.3,-5.0,1.4,,,,76.6,122.2,-45.6,,,,,,,,,0.00,,,,,,-34.5,
7:00:13 PM,42.4755784,-82.8516157,,R2,R-Spin,Full,Star,Run,9.3,114.1,117.8,-3.6,-1.2,0.6,,,,72.0,117.3,-45.3,,,,,,,,,,9.4,95.9,13.9,137.6,256.9,-34.6,
7:00:14 PM,42.4755625,-82.8515551,15.3,R2,R-Spin,Full,Star,Run,10.4,110.8,116.4,-5.6,-2.3,1.9,,,,67.6,114.5,-47.0,,,,,,,,,,10.0,94.3,14.5,136.7,252.8,-34.1,
